,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
0,Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103.0,218,2245,1257,Online
1,West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103.0,163,1679,806,Online
2,Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700,7000,3150,Outlet
3,Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575,8625,3881,Outlet
4,Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475,7125,3206,Outlet
5,West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475,7125,2494,In-store
6,Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450,9000,3150,Online
7,Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15.0,450,6750,2700,Online
8,West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450,9000,2700,In-store
9,Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44.0,434,1910,993,Outlet
10,Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425,8500,2975,In-store
11,West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425,6375,2231,In-store
12,West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425,8500,2975,In-store
13,Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425,8500,3400,Online
14,Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,425,6375,2550,Online
15,Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20.0,425,8500,3400,Online
16,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20.0,425,8500,3400,Online
17,Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425,8500,2975,Online
18,Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48.0,420,2016,1129,Outlet
19,Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408,1591,875,Outlet
20,Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403,1854,1038,Outlet
21,West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400,8000,2800,In-store
22,West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400,8000,3200,In-store
23,West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800,In-store
24,West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000,2800,In-store
25,Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400,8000,3200,Online
26,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15.0,400,6000,2400,Online
27,Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47.0,400,1880,978,Outlet
28,Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40.0,390,1560,811,Outlet
29,Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388,1280,666,Outlet
30,Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384,1306,679,Outlet
31,Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376,1166,559,Outlet
32,Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375,7500,4125,Outlet
33,Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375,7500,2625,In-store
34,West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000,In-store
35,West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500,3000,In-store
36,Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.0,375,5625,2250,Online
37,West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15.0,375,5625,1969,Online
38,West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15.0,375,5625,2250,Online
39,Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,41.0,375,1538,800,Outlet
40,Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445,Outlet
41,Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445,Outlet
42,Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,33.0,372,1228,663,Outlet
43,Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,44.0,366,1610,837,Outlet
44,Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56.0,360,2016,1250,Online
45,Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,37.0,359,1328,452,Outlet
46,Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,48.0,355,1704,511,Outlet
47,Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,46.0,354,1628,1026,Online
48,Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,47.0,352,1654,447,Outlet
